line_code,active,station_code,station_name_en,station_name_th,latitude,longitude
orange,False,OR09,Ratchaprarop,ราชปรารภ,,
orange,False,OR10,Din Daeng,ดินแดง,,
orange,False,OR11,Pracha Songkhro,ประชาสงเคราะห์,,
orange,False,OR12,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,,
orange,False,OR13,MRTA,รฟม.,,
orange,False,OR14,Wat Phraram Kao,วัดพระราม 9,,
orange,False,OR15,Ram Khamhaeng 12,รามคำแหง 12,,
orange,False,OR16,Ram Khamhaeng University,ม.รามคำแหง,,
orange,False,OR17,SAT,กกท.,,
orange,False,OR18,Ram Khamhaeng 34,รามคำแหง 34,,
orange,False,OR19,Yaek Lam Sali ,แยกลำสาลี,,
orange,False,OR20,Si Burapha,ศรีบูรพา,,
orange,False,OR21,Ban Ma,บ้านม้า,,
orange,False,OR22,Sammakon,สัมมากร,,
orange,False,OR23,Nom Klao,น้อมเกล้า,,
orange,False,OR24,Rat Phatthana,ราษฏร์พัฒนา,,
orange,False,OR25,Wat Bang Pheng,วัดบางเพ็ง,,
orange,False,OR26,Kheha Ramkhamhaeng,เคหะรามคำแหง,,
orange,False,OR27,Min Buri,มีนบุรี,,
orange,False,OR28,Yaek Rom Klao ,แยกร่มเกล้า,,
pink,True,PK01,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,13.85985803964236,100.51810975430068
pink,True,PK02,Khae Rai,แคราย,13.862563694584006,100.52075967666102
pink,True,PK03,Sanambin Nam,สนามบินน้ำ,13.87424335770954,100.5163025676707
pink,True,PK04,Samakkhi,สามัคคี,13.889254942099637,100.51064053742816
pink,True,PK05,Royal Irrigation Department,กรมชลประทาน,13.898673665945015,100.50712689778332
pink,True,PK06,Yaek Pak Kret,แยกปากเกร็ด,13.906201676722183,100.50551053935506
pink,True,PK07,Pak Kret Bypass,เลี่ยงเมืองปากเกร็ด,13.90644224120154,100.5156585898232
pink,True,PK08,Chaeng Watthana-Pak Kret 28,แจ้งวัฒนะ-ปากเกร็ด 28,13.904125539625277,100.5293216824756
pink,True,PK09,Si Rat,ศรีรัช,13.90048701676285,100.5400667780228
pink,True,PK10,Muang Thong Thani ,เมืองทองธานี ,13.897322448937429,100.5485093592544
pink,True,PK11,Chaeng Watthana 14,แจ้งวัฒนะ 14,13.893210229896368,100.5601899975409
pink,True,PK12,Government Complex,ศูนย์ราชการเฉลิมพระเกียรติ,13.890661229328202,100.56742765634984
pink,True,PK13,National Telecom,โทรคมนาคมแห่งชาติ,13.887464227704458,100.57580672802804
pink,True,PK14,Lak Si,หลักสี่,13.884036767522275,100.58264980672725
pink,True,PK15,Rajabhat Phranakorn,ราชภัฏพระนคร,13.87987060563444,100.58932339071588
pink,True,PK16,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.874663496022762,100.59700939901865
pink,True,PK17,Ram Inthra 3,รามอินทรา 3,13.87089248910171,100.60263449784271
pink,True,PK18,Lat Pla Khao,ลาดปลาเค้า,13.862718363338756,100.61784431799067
pink,True,PK19,Ram Inthra Kor Mor 4,รามอินทรา กม. 4,13.858238469801062,100.62613567147513
pink,True,PK20,Maiyalap,มัยลาภ,13.854941159336615,100.63224640048188
pink,True,PK21,Vatcharaphol,วัชรพล,13.84921714144886,100.6429768423864
pink,True,PK22,Ram Inthra Kor Mor 6,รามอินทรา กม. 6,13.845204493624756,100.65033132833088
pink,True,PK23,Khu Bon,คู้บอน,13.840586912780704,100.65886755569524
pink,True,PK24,Ram Inthra Kor Mor 9,รามอินทรา กม. 9,13.833815254903774,100.66755687631004
pink,True,PK25,Outer Ring Road - Ram Inthra,วงแหวนรามอินทรา,13.824502702057847,100.6772076429847
pink,True,PK26,Nopparat,นพรัตน์,13.816571743935032,100.68562512693596
pink,True,PK27,Bang Chan,บางชัน,13.812744900459574,100.70293639958231
pink,True,PK28,Setthabutbamphen,เศรษฐบุตรบำเพ็ญ,13.812715718837614,100.71264029423054
pink,True,PK29,Min Buri Market,ตลาดมีนบุรี,13.812531559382869,100.72585343929408
pink,True,PK30,Min Buri,มีนบุรี,13.80846756061051,100.7326905922762
purple_,True,PP01,Khlong Bang Phai,คลองบางไผ่,13.89253436,100.4082496
purple_,True,PP02,Talad Bang Yai,ตลาดบางใหญ่,13.88112798,100.4092513
purple_,True,PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่,13.87456616,100.4194113
purple_,True,PP04,Bang Phlu,บางพลู,13.87572623,100.4338654
purple_,True,PP05,Bang Rak Yai,บางรักใหญ่,13.87660559,100.4449095
purple_,True,PP06,Bang Rak Noi Tha It,บางรักน้อยท่าอิฐ,13.87479655,100.4559496
purple_,True,PP07,Sai Ma,ไทรม้า,13.87050059,100.4666311
purple_,True,PP08,Phra Nang klao Bridge,สะพานพระนั่งเกล้า,13.8703241,100.4803656
purple_,True,PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1,13.86581435,100.4946124
purple_,True,PP10,Bang Krasor,บางกระสอ,13.86169155,100.504486
purple_,True,PP11,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,13.8602065,100.5132428
purple_,True,PP12,Ministry of Public Health,กระทรวงสาธารณสุข,13.84867734,100.5146738
purple_,True,PP13,Yaek Tiwanon,แยกติวานนท์,13.83957886,100.5148801
purple_,True,PP14,Wong Sawang,วงศ์สว่าง,13.83006051,100.5264559
purple_,True,PP15,Bang Son,บางซ่อน,13.82033224,100.5324967
purple_,True,PP16,Tao Poon,เตาปูน,13.80621259,100.530759
purple_,False,PP17,Parliament House,รัฐสภา,,
purple_,False,PP18,Si Yan,ศรีย่าน,,
purple_,False,PP19,Vajira Hospital,วชิรพยาบาล,,
purple_,False,PP20,National Library,หอสมุดแห่งชาติ,,
purple_,False,PP21,Bang Khun Phrom,บางขุนพรม,,
purple_,False,PP22,Democracy Monument,อนุเสาวรีย์ประชาธิปไตย,,
purple_,False,PP23,Sam Yot,สามยอด,,
purple_,False,PP24,Memorial Bridge,สะพานพุทธ,,
purple_,False,PP25,Wongwian Yai,วงเวียนใหญ่,,
purple_,False,PP26,Samre,สำเหร่,,
purple_,False,PP27,Dao Khanong,ดาวคะนอง,,
purple_,False,PP28,Bang Pakaeo,บางปะแก้ว,,
purple_,False,PP29,Bang Pakok,บางปะกอก,,
purple_,False,PP30,Yaek Pracha Uthit,แยกประชาอุทิศ,,
purple_,False,PP31,Rat Burana,ราษฎร์บูรณะ,,
purple_,False,PP32,Phra Pradaeng,พระประแดง,,
purple_,False,PP33,Khru Nai,ครุใน,,
red_east,False,RE01,Bang Sue,บางซื่อ,,
